Date,Price USD per Oz,Price INR per Gm
1950-01,34.73,91.69616748
1950-02,34.73,91.69616748
1950-03,34.73,91.69616748
1950-04,34.73,91.69616748
1950-05,34.73,91.69616748
1950-06,34.73,91.69616748
1950-07,34.73,91.69616748
1950-08,34.73,91.69616748
1950-09,34.73,91.69616748
1950-10,34.73,91.69616748
1950-11,34.73,91.69616748
1950-12,34.72,91.6697649
1951-01,34.72,91.6697649
1951-02,34.73,91.69616748
1951-03,34.73,91.69616748
1951-04,34.73,91.69616748
1951-05,34.73,91.69616748
1951-06,34.73,91.69616748
1951-07,34.72,91.6697649
1951-08,34.71,91.64336232
1951-09,34.71,91.64336232
1951-10,34.71,91.64336232
1951-11,34.73,91.69616748
1951-12,34.66,91.51134941
1952-01,34.49,91.06250551
1952-02,34.49,91.06250551
1952-03,34.68,91.56415457
1952-04,34.82,91.93379072
1952-05,34.73,91.69616748
1952-06,34.53,91.16811584
1952-07,34.57,91.27372617
1952-08,34.58,91.30012875
1952-09,34.51,91.11531068
1952-10,34.63,91.43214166
1952-11,34.72,91.6697649
1952-12,34.79,91.85458297
1953-01,34.88,92.09220621
1953-02,34.95,92.27702429
1953-03,34.92,92.19781654
1953-04,34.93,92.22421912
1953-05,34.9,92.14501138
1953-06,34.89,92.11860879
1953-07,34.91,92.17141396
1953-08,34.91,92.17141396
1953-09,34.76,91.77537523
1953-10,34.79,91.85458297
1953-11,34.86,92.03940105
1953-12,34.85,92.01299847
1954-01,34.86,92.03940105
1954-02,34.88,92.09220621
1954-03,34.92,92.19781654
1954-04,35.04,92.51464752
1954-05,35.08,92.62025785
1954-06,35.07,92.59385527
1954-07,35.08,92.62025785
1954-08,35.05,92.54105011
1954-09,35.08,92.62025785
1954-10,35.08,92.62025785
1954-11,35.06,92.56745269
1954-12,35.04,92.51464752
1955-01,35.04,92.51464752
1955-02,35.05,92.54105011
1955-03,35.06,92.56745269
1955-04,35.05,92.54105011
1955-05,35.05,92.54105011
1955-06,35.04,92.51464752
1955-07,35.05,92.54105011
1955-08,35.03,92.48824494
1955-09,34.98,92.35623203
1955-10,34.98,92.35623203
1955-11,34.98,92.35623203
1955-12,34.97,92.32982945
1956-01,34.99,92.38263461
1956-02,34.99,92.38263461
1956-03,34.99,92.38263461
1956-04,34.98,92.35623203
1956-05,34.99,92.38263461
1956-06,34.98,92.35623203
1956-07,35,92.4090372
1956-08,35.02,92.46184236
1956-09,35.01,92.43543978
1956-10,35.02,92.46184236
1956-11,34.98,92.35623203
1956-12,34.9,92.14501138
1957-01,34.88,92.09220621
1957-02,34.89,92.11860879
1957-03,34.91,92.17141396
1957-04,34.92,92.19781654
1957-05,34.93,92.22421912
1957-06,34.99,92.38263461
1957-07,34.99,92.38263461
1957-08,34.97,92.32982945
1957-09,34.96,92.30342687
1957-10,34.97,92.32982945
1957-11,34.97,92.32982945
1957-12,34.99,92.38263461
1958-01,35.01,92.43543978
1958-02,35.08,92.62025785
1958-03,35.09,92.64666043
1958-04,35.1,92.67306302
1958-05,35.11,92.6994656
1958-06,35.1,92.67306302
1958-07,35.11,92.6994656
1958-08,35.1,92.67306302
1958-09,35.1,92.67306302
1958-10,35.11,92.6994656
1958-11,35.1,92.67306302
1958-12,35.09,92.64666043
1959-01,35.07,92.59385527
1959-02,35.06,92.56745269
1959-03,35.06,92.56745269
1959-04,35.08,92.62025785
1959-05,35.12,92.72586818
1959-06,35.12,92.72586818
1959-07,35.13,92.75227076
1959-08,35.12,92.72586818
1959-09,35.13,92.75227076
1959-10,35.1,92.67306302
1959-11,35.06,92.56745269
