Date,Price,Open,High,Low,Chg%
2011-01-03,1422.6,1415.6,1423.9,1413.7,0.0011
2011-01-04,1378.5,1409.6,1410.9,1375.8,-0.031
2011-01-05,1373.4,1383.4,1384,1364.2,-0.0037
2011-01-06,1371.4,1374.8,1376.5,1368.9,-0.0015
2011-01-07,1368.5,1372.7,1377.2,1355.5,-0.0021
2011-01-10,1373.7,1369,1374,1365.7,0.0038
2011-01-11,1384,1375.4,1384.5,1373.9,0.0075
2011-01-12,1385.7,1382.6,1385.5,1378,0.0012
2011-01-13,1386.9,1386.1,1392.5,1371.4,0.0009
2011-01-14,1360.4,1375,1376,1356.7,-0.0191
2011-01-18,1368.1,1365.1,1371,1359.2,0.0057
2011-01-19,1370.2,1371.9,1376.2,1367,0.0015
2011-01-20,1346.5,1367.7,1367.7,1345,-0.0173
2011-01-21,1341,1341.7,1345.6,1338.6,-0.0041
2011-01-24,1344.5,1352.3,1352.3,1341.8,0.0026
2011-01-25,1332.3,1330.4,1331.5,1323.6,-0.0091
2011-01-26,1333,1339.8,1341.7,1339.8,0.0005
2011-01-27,1318.4,1342,1342,1318.4,-0.011
2011-01-28,1340.7,1314,1346.6,1307.7,0.0169
2011-01-31,1333.8,1339,1345.9,1323.3,-0.0051
2011-02-01,1339.6,1333.1,1342.9,1325.3,0.0043
2011-02-02,1331.5,1344,1344,1327,-0.006
2011-02-03,1352.3,1335.6,1355.8,1324.9,0.0156
2011-02-04,1348.3,1354.8,1360,1345,-0.003
2011-02-07,1347.6,1345.8,1353.8,1343.8,-0.0005
2011-02-08,1363.4,1351.2,1367,1350,0.0117
2011-02-09,1364.8,1362.8,1366.5,1359.6,0.001
2011-02-10,1361.9,1364.3,1364.5,1351.7,-0.0021
2011-02-11,1359.9,1364,1368.8,1355.2,-0.0015
2011-02-14,1364.6,1357.8,1365.6,1356.6,0.0035
2011-02-15,1373.6,1361.6,1376,1361.6,0.0066
2011-02-16,1374.7,1373.6,1382,1370.5,0.0008
2011-02-17,1384.7,1377.7,1384.7,1377,0.0073
2011-02-18,1388.2,1384.1,1391.8,1381.8,0.0025
2011-02-22,1400.5,1395.1,1408.7,1395.1,0.0089
2011-02-23,1413.4,1397.8,1413.8,1397.8,0.0092
2011-02-24,1415.3,1415.1,1415.3,1408.3,0.0013
2011-02-25,1408.7,1401.7,1411,1401,-0.0047
2011-02-28,1409.3,1410.7,1415.7,1407.7,0.0004
2011-03-01,1430.7,1415.3,1434.4,1415.3,0.0152
2011-03-02,1437.2,1432.5,1440.5,1428.8,0.0045
2011-03-03,1416,1432.3,1432.3,1415.9,-0.0148
2011-03-04,1428.2,1418.9,1429.8,1416.8,0.0086
2011-03-07,1434.1,1434.5,1445,1429.5,0.0041
2011-03-08,1426.9,1431.6,1432.6,1424.3,-0.005
2011-03-09,1429.3,1430,1435.7,1426.1,0.0017
2011-03-10,1412.2,1429.5,1429.8,1403.8,-0.012
2011-03-11,1421.5,1413.7,1422.6,1404.9,0.0066
2011-03-14,1424.6,1420,1427.7,1420,0.0022
2011-03-15,1392.6,1413.3,1413.3,1385.5,-0.0225
2011-03-16,1396,1398,1404.2,1394.3,0.0024
2011-03-17,1404,1387.7,1393.6,1387.7,0.0057
2011-03-18,1415.9,1406.4,1419.3,1406.4,0.0085
2011-03-21,1426.2,1433.5,1433.5,1430.8,0.0073
2011-03-22,1427.5,1430.4,1430.4,1430.4,0.0009
2011-03-23,1437.9,1432.2,1439.7,1432.2,0.0073
2011-03-24,1434.8,1437.7,1446.9,1437.5,-0.0022
2011-03-25,1426.1,1436,1436,1436,-0.0061
2011-03-28,1419.8,1413.2,1415.6,1413.2,-0.0044
2011-03-29,1416,1416,1416,1416,-0.0027
2011-03-30,1423.8,1418.7,1430.3,1412,0.0055
2011-03-31,1438.9,1423.3,1440,1420.7,0.0106
2011-04-01,1428.1,1433.4,1436.5,1413,-0.0075
2011-04-04,1432.2,1429.1,1439.1,1428.8,0.0029
2011-04-05,1451.8,1437.9,1457.6,1430.3,0.0137
2011-04-06,1457.7,1456.9,1462.3,1452,0.0041
2011-04-07,1458.5,1459.7,1462.7,1453.9,0.0005
2011-04-08,1473.4,1457.6,1475.5,1457.5,0.0102
2011-04-11,1467.4,1476,1476,1459.7,-0.0041
2011-04-12,1452.9,1461.8,1467.2,1444.4,-0.0099
2011-04-13,1454.9,1455,1462,1454,0.0014
