Date,Price,High,Low
2011-01-03,1422.6,1423.9,1413.7
2011-01-04,1378.5,1410.9,1375.8
2011-01-05,1373.4,1384,1364.2
2011-01-06,1371.4,1376.5,1368.9
2011-01-07,1368.5,1377.2,1355.5
2011-01-10,1373.7,1374,1365.7
2011-01-11,1384,1384.5,1373.9
2011-01-12,1385.7,1385.5,1378
2011-01-13,1386.9,1392.5,1371.4
2011-01-14,1360.4,1376,1356.7
2011-01-18,1368.1,1371,1359.2
2011-01-19,1370.2,1376.2,1367
2011-01-20,1346.5,1367.7,1345
2011-01-21,1341,1345.6,1338.6
2011-01-24,1344.5,1352.3,1341.8
2011-01-25,1332.3,1331.5,1323.6
2011-01-26,1333,1341.7,1339.8
2011-01-27,1318.4,1342,1318.4
2011-01-28,1340.7,1346.6,1307.7
2011-01-31,1333.8,1345.9,1323.3
2011-02-01,1339.6,1342.9,1325.3
2011-02-02,1331.5,1344,1327
2011-02-03,1352.3,1355.8,1324.9
2011-02-04,1348.3,1360,1345
2011-02-07,1347.6,1353.8,1343.8
2011-02-08,1363.4,1367,1350
2011-02-09,1364.8,1366.5,1359.6
2011-02-10,1361.9,1364.5,1351.7
2011-02-11,1359.9,1368.8,1355.2
2011-02-14,1364.6,1365.6,1356.6
2011-02-15,1373.6,1376,1361.6
2011-02-16,1374.7,1382,1370.5
2011-02-17,1384.7,1384.7,1377
2011-02-18,1388.2,1391.8,1381.8
2011-02-22,1400.5,1408.7,1395.1
2011-02-23,1413.4,1413.8,1397.8
2011-02-24,1415.3,1415.3,1408.3
2011-02-25,1408.7,1411,1401
2011-02-28,1409.3,1415.7,1407.7
2011-03-01,1430.7,1434.4,1415.3
2011-03-02,1437.2,1440.5,1428.8
2011-03-03,1416,1432.3,1415.9
2011-03-04,1428.2,1429.8,1416.8
2011-03-07,1434.1,1445,1429.5
2011-03-08,1426.9,1432.6,1424.3
2011-03-09,1429.3,1435.7,1426.1
2011-03-10,1412.2,1429.8,1403.8
2011-03-11,1421.5,1422.6,1404.9
2011-03-14,1424.6,1427.7,1420
2011-03-15,1392.6,1413.3,1385.5
2011-03-16,1396,1404.2,1394.3
2011-03-17,1404,1393.6,1387.7
2011-03-18,1415.9,1419.3,1406.4
2011-03-21,1426.2,1433.5,1430.8
2011-03-22,1427.5,1430.4,1430.4
2011-03-23,1437.9,1439.7,1432.2
2011-03-24,1434.8,1446.9,1437.5
2011-03-25,1426.1,1436,1436
2011-03-28,1419.8,1415.6,1413.2
