Date,Price 
Jan-50,34.73
Feb-50,34.73
Mar-50,34.73
Apr-50,34.73
May-50,34.73
Jun-50,34.73
Jul-50,34.73
Aug-50,34.73
Sep-50,34.73
Oct-50,34.73
Nov-50,34.73
Dec-50,34.72
Jan-51,34.72
Feb-51,34.73
Mar-51,34.73
Apr-51,34.73
May-51,34.73
Jun-51,34.73
Jul-51,34.72
Aug-51,34.71
Sep-51,34.71
Oct-51,34.71
Nov-51,34.73
Dec-51,34.66
Jan-52,34.49
Feb-52,34.49
Mar-52,34.68
Apr-52,34.82
May-52,34.73
Jun-52,34.53
Jul-52,34.57
Aug-52,34.58
Sep-52,34.51
Oct-52,34.63
Nov-52,34.72
Dec-52,34.79
Jan-53,34.88
Feb-53,34.95
Mar-53,34.92
Apr-53,34.93
May-53,34.9
Jun-53,34.89
Jul-53,34.91
Aug-53,34.91
Sep-53,34.76
Oct-53,34.79
Nov-53,34.86
Dec-53,34.85
Jan-54,34.86
Feb-54,34.88
Mar-54,34.92
Apr-54,35.04
May-54,35.08
Jun-54,35.07
Jul-54,35.08
Aug-54,35.05
Sep-54,35.08
Oct-54,35.08
Nov-54,35.06
Dec-54,35.04
Jan-55,35.04
Feb-55,35.05
Mar-55,35.06
Apr-55,35.05
May-55,35.05
Jun-55,35.04
Jul-55,35.05
Aug-55,35.03
Sep-55,34.98
Oct-55,34.98
Nov-55,34.98
Dec-55,34.97
Jan-56,34.99
Feb-56,34.99
Mar-56,34.99
Apr-56,34.98
May-56,34.99
Jun-56,34.98
Jul-56,35
Aug-56,35.02
Sep-56,35.01
Oct-56,35.02
Nov-56,34.98
Dec-56,34.9
Jan-57,34.88
Feb-57,34.89
Mar-57,34.91
Apr-57,34.92
May-57,34.93
Jun-57,34.99
Jul-57,34.99
Aug-57,34.97
Sep-57,34.96
Oct-57,34.97
Nov-57,34.97
Dec-57,34.99
Jan-58,35.01
Feb-58,35.08
Mar-58,35.09
Apr-58,35.1
May-58,35.11
Jun-58,35.1
Jul-58,35.11
Aug-58,35.1
Sep-58,35.1
Oct-58,35.11
Nov-58,35.1
Dec-58,35.09
Jan-59,35.07
Feb-59,35.06
Mar-59,35.06
Apr-59,35.08
May-59,35.12
Jun-59,35.12
Jul-59,35.13
Aug-59,35.12
Sep-59,35.13
Oct-59,35.1
Nov-59,35.06
Dec-59,35.05
Jan-60,35.09
Feb-60,35.09
Mar-60,35.09
Apr-60,35.11
May-60,35.1
Jun-60,35.09
Jul-60,35.1
Aug-60,35.13
Sep-60,35.22
Oct-60,35.78
Nov-60,35.82
Dec-60,35.54
Jan-61,35.56
Feb-61,35.17
Mar-61,35.08
Apr-61,35.08
May-61,35.06
Jun-61,35.07
Jul-61,35.11
Aug-61,35.16
Sep-61,35.19
Oct-61,35.19
Nov-61,35.19
Dec-61,35.15
Jan-62,35.16
Feb-62,35.13
Mar-62,35.09
Apr-62,35.08
May-62,35.08
Jun-62,35.1
Jul-62,35.12
Aug-62,35.12
Sep-62,35.13
Oct-62,35.14
Nov-62,35.09
Dec-62,35.08
Jan-63,35.06
Feb-63,35.08
Mar-63,35.1
Apr-63,35.1
May-63,35.08
Jun-63,35.08
Jul-63,35.09
Aug-63,35.1
Sep-63,35.08
Oct-63,35.08
Nov-63,35.08
Dec-63,35.08
Jan-64,35.08
Feb-64,35.08
Mar-64,35.08
Apr-64,35.08
May-64,35.08
Jun-64,35.08
Jul-64,35.08
Aug-64,35.08
Sep-64,35.09
Oct-64,35.11
Nov-64,35.1
Dec-64,35.12
Jan-65,35.13
Feb-65,35.14
Mar-65,35.16
Apr-65,35.14
May-65,35.1
Jun-65,35.1
Jul-65,35.12
Aug-65,35.15
